deck,h_mm,b_m,I_s,EI_s,m,delta,f1,pass_4hz,pass_3hz,note
ComFlor 51 1.0,153.0,4.0,27866737.718571417,5.852014920899998,502.2426095820591,2.8064407824181603,10.744706668618642,True,True,
ComFlor 51 1.0,155.0,4.0,29238502.064293496,6.140085433501635,507.13557594291535,2.7008310410228296,10.952765687638596,True,True,
ComFlor 51 1.0,124.0,5.0,12805250.276989494,2.689102558167794,431.2945973496432,12.804259190952306,5.030316101920222,True,True,
ComFlor 51 1.0,156.0,5.0,29942554.584045943,6.287936462649648,509.5820591233436,6.469843705877798,7.076615680243372,True,True,
ComFlor 51 1.0,158.0,5.0,31387668.541687116,6.591410393754294,514.4750254841998,6.231229538484171,7.210836200008008,True,True,
ComFlor 51 1.2,105.0,3.0,6920352.914674783,1.4532741120817045,387.86952089704374,2.7614101869271996,10.831959904965755,True,True,
ComFlor 51 1.2,120.0,3.0,11342229.912365993,2.381868281596859,424.56676860346585,1.8442553987725068,13.25445800205895,True,True,
ComFlor 51 1.2,121.0,3.0,11695901.609887598,2.4561393380763956,427.01325178389396,1.7987928734369631,13.420908824057307,True,True,
ComFlor 51 1.2,128.0,3.0,14401400.351408068,3.024294073795694,444.1386340468908,1.5194532427637304,14.602554470991485,True,True,
ComFlor 51 1.2,129.0,3.0,14822100.857913947,3.112641180161929,446.585117227319,1.4844582687361425,14.773673897680364,True,True,
ComFlor 51 1.2,114.0,4.0,9381575.672339087,1.9701308911912085,409.887869520897,6.803270479774681,6.9010255649608405,True,True,
ComFlor 51 1.2,116.0,4.0,10005122.172147471,2.1010756561509694,414.7808358817533,6.4554235796441795,7.084515143872495,True,True,
ComFlor 51 1.2,147.0,4.0,24032667.317257304,5.0468601366240335,490.6218144750255,3.178874171073246,10.095686041195856,True,True,
ComFlor 51 1.2,154.0,4.0,28546607.456769045,5.9947875659214995,507.7471967380224,2.769628306383718,10.815877517154355,True,True,
ComFlor 51 1.2,155.0,4.0,29238502.064293496,6.140085433501635,510.1936799184505,2.717117459360656,10.919890879054668,True,True,
ComFlor 51 1.2,124.0,5.0,12805250.276989494,2.689102558167794,434.3527013251784,12.895048076730744,5.012576598796144,True,True,
ComFlor 51 1.2,152.0,5.0,27198760.410171594,5.711739686136036,502.8542303771661,7.028481509456034,6.789561895020314,True,True,
ComFlor 51 1.2,155.0,5.0,29238502.064293496,6.140085433501635,510.1936799184505,6.6335875472672265,6.988730162594988,True,True,
ComFlor 51 1.2,156.0,5.0,29942554.584045943,6.287936462649648,512.6401630988787,6.508670533478585,7.055476683458771,True,True,
ComFlor 51 1.2,172.0,5.0,42971754.86186592,9.024068520991843,551.7838939857288,4.88151288616231,8.14695439183503,True,True,
ComFlor 51 1.2,174.0,5.0,44849752.902554005,9.418448109536342,556.676860346585,4.718583279748105,8.286415248939125,True,True,
ComFlor 60 0.9,113.0,3.0,9080673.839083148,1.906941506207461,346.4831804281345,1.879912310278274,13.128155409735777,True,True,
ComFlor 60 0.9,117.0,3.0,10327983.239571411,2.1688764803099962,356.2691131498471,1.6995586636511193,13.80716215162714,True,True,
ComFlor 60 0.9,117.0,4.0,10327983.239571411,2.1688764803099962,356.2691131498471,5.3714446653665,7.766528710290266,True,True,
ComFlor 60 0.9,121.0,4.0,11695901.609887598,2.4561393380763956,366.0550458715596,4.873502009611023,8.15364746881277,True,True,
ComFlor 60 0.9,123.0,4.0,12427299.02245518,2.6097327947155877,370.9480122324159,4.647985427688947,8.349108909252124,True,True,
ComFlor 60 0.9,129.0,4.0,14822100.857913947,3.112641180161929,385.6269113149847,4.051221862760291,8.942922996351522,True,True,
ComFlor 60 0.9,130.0,4.0,15251699.487727514,3.2028568924227776,388.0733944954128,3.962087731743999,9.042956905447083,True,True,
ComFlor 60 0.9,139.0,4.0,19538112.09626717,4.103003540216106,410.09174311926597,3.268337418810438,9.956554195175306,True,True,
